stage,bug,scheme,scenario,verdict,detail
before,1,block tags B=1000,дописаны 2000 записей без меток,ПРОШЛО (не обнаружено),-
before,1,per-record HMAC chain,дописаны 2000 записей с пустой меткой,обнаружено,метка записи № 10001 не сходится
before,1,per-record HMAC chain,"дописаны 2000 записей с верными метками (ключ), журнал завершён",ПРОШЛО (не обнаружено),-
before,2,SHA-256 chain,"подмена user=U|ext,pc=P на user=U,pc=ext|P, старые хеши",ПРОШЛО (не обнаружено),-
before,2,per-record HMAC chain,"подмена user=U|ext,pc=P на user=U,pc=ext|P, старые метки и точки",ПРОШЛО (не обнаружено),-
before,2,block tags B=1000,"подмена user=U|ext,pc=P на user=U,pc=ext|P, старые метки блоков",ПРОШЛО (не обнаружено),-
after,1,block tags B=1000,дописаны 2000 записей без меток,обнаружено,записи 10001..11000 не подтверждены внешней меткой (дописаны после закрытия журнала)
after,1,per-record HMAC chain,дописаны 2000 записей с пустой меткой,обнаружено,метка записи № 10001 не сходится
after,1,per-record HMAC chain,"дописаны 2000 записей с верными метками (ключ), журнал завершён",обнаружено,записи 10001..12000 не подтверждены внешней точкой (дописаны после закрытия журнала)
after,2,SHA-256 chain,"подмена user=U|ext,pc=P на user=U,pc=ext|P, старые хеши",обнаружено,запись 5000
after,2,per-record HMAC chain,"подмена user=U|ext,pc=P на user=U,pc=ext|P, старые метки и точки",обнаружено,метка записи № 5000 не сходится
after,2,block tags B=1000,"подмена user=U|ext,pc=P на user=U,pc=ext|P, старые метки блоков",обнаружено,блок 5 (записи 4001..5000) не совпал с внешней меткой
